id,pseudo_group,label,nn_corr,nn_same_label
tr_0000130,108,0,0.9970017,True
tr_0000131,109,0,0.99015474,True
tr_0000132,110,0,0.99852026,True
tr_0000133,756,2,0.9948043,True
tr_0000134,17318,2,0.99686605,True
tr_0000135,111,1,0.9961432,True
tr_0000136,112,0,0.9551165,True
tr_0000137,113,2,0.9768402,True
tr_0000138,39769,0,0.99670553,True
tr_0000139,114,2,0.99888134,True
tr_0000140,115,0,0.97068197,True
tr_0000141,31585,2,0.9969754,True
tr_0000142,116,2,0.98357886,True
tr_0000143,117,0,0.9848232,True
tr_0000144,118,2,0.9990349,True
tr_0000145,119,2,0.98858,True
tr_0000146,3996,0,0.99566025,True
tr_0000147,120,2,0.9631395,True
tr_0000148,121,0,0.98130715,True
tr_0000149,122,2,0.9995092,True
tr_0000150,123,0,0.93745005,True
tr_0000151,124,0,0.9557175,True
tr_0000152,6598,0,0.9985455,True
tr_0000153,125,0,0.9908033,True
tr_0000154,126,0,0.9945091,True
tr_0000155,127,0,0.9662621,True
tr_0000156,128,2,0.96288025,True
tr_0000157,129,1,0.9970789,True
tr_0000158,130,2,0.9996176,True
tr_0000159,131,2,0.99957836,True
tr_0000160,132,0,0.9248311,True
tr_0000161,5068,0,0.9951625,True
tr_0000162,133,0,0.9511958,True
tr_0000163,134,0,0.9863116,True
tr_0000164,135,0,0.956426,True
tr_0000165,136,1,0.98867613,True
tr_0000166,137,0,0.9550653,True
tr_0000167,18549,2,0.9981437,True
tr_0000168,138,0,0.996581,True
tr_0000169,139,0,0.7791969,True
tr_0000170,140,0,0.9562693,True
tr_0000171,14930,0,0.99619836,True
tr_0000172,141,2,0.9956317,True
tr_0000173,9406,0,0.98533183,True
tr_0000174,142,0,0.96145976,True
tr_0000175,143,0,0.9550324,True
tr_0000176,144,2,0.9982267,True
tr_0000177,145,1,0.9894424,True
tr_0000178,146,0,0.9931444,True
tr_0000179,147,2,0.9900312,True
tr_0000180,43322,0,0.98467904,True
tr_0000181,148,2,0.9862407,True
tr_0000182,149,2,0.99934375,True
tr_0000183,6447,2,0.9951815,True
tr_0000184,150,0,0.9468847,True
tr_0000185,151,2,0.9419375,True
tr_0000186,152,0,0.99250203,True
tr_0000187,153,2,0.9182815,True
tr_0000188,18143,0,0.9941889,True
tr_0000189,5162,0,0.9950705,True
tr_0000190,154,2,0.99410963,True
tr_0000191,155,0,0.99976623,True
tr_0000192,156,0,0.9980678,True
tr_0000193,157,0,0.98101014,True
tr_0000194,158,0,0.99909085,True
tr_0000195,159,0,0.9910969,True
tr_0000196,13062,2,0.9980729,True
tr_0000197,160,2,0.8863667,True
tr_0000198,161,0,0.9795429,True
tr_0000199,162,0,0.98659545,True
tr_0000200,163,2,0.96616894,True
tr_0000201,164,2,0.99692774,True
tr_0000202,165,2,0.9696607,True
tr_0000203,166,2,0.9988497,True
tr_0000204,167,0,0.92524946,True
tr_0000205,168,0,0.99496436,True
tr_0000206,169,0,0.9877096,True
tr_0000207,170,0,0.9779913,True
tr_0000208,26334,0,0.98355097,True
tr_0000209,171,2,0.98303276,True
tr_0000210,172,2,0.9893526,True
tr_0000211,173,0,0.9875751,True
tr_0000212,174,2,0.9938663,True
tr_0000213,175,2,0.9956797,True
tr_0000214,176,0,0.90101206,True
tr_0000215,4665,0,0.9936194,True
tr_0000216,177,2,0.9990956,True
tr_0000217,178,0,0.9628035,True
tr_0000218,23659,2,0.98925453,True
tr_0000219,179,0,0.96046853,True
tr_0000220,180,0,0.9766971,True
tr_0000221,181,0,0.99514216,True
tr_0000222,182,0,0.9787047,True
tr_0000223,183,0,0.95674455,True
tr_0000224,184,0,0.96347153,True
tr_0000225,185,0,0.9940062,True
tr_0000226,186,2,0.9943948,True
tr_0000227,187,0,0.96434647,True
tr_0000228,4476,1,0.9938385,True
tr_0000229,188,2,0.99864596,True
tr_0000230,189,0,0.97896945,True
tr_0000231,190,2,0.8292923,True
tr_0000232,191,2,0.9983357,True
tr_0000233,192,2,0.9414533,True
tr_0000234,193,0,0.99440914,True
tr_0000235,194,2,0.8517018,True
tr_0000236,264,2,0.99963266,True
tr_0000237,195,0,0.992435,True
tr_0000238,196,0,0.99434596,True
tr_0000239,197,1,0.9687258,True
tr_0000240,198,0,0.99622124,True
tr_0000241,29387,2,0.9978301,True
tr_0000242,199,0,0.9711059,True
tr_0000243,200,0,0.999409,True
tr_0000244,201,2,0.9945409,True
tr_0000245,202,2,0.99373966,True
tr_0000246,203,0,0.9478832,True
tr_0000247,204,0,0.9951484,True
tr_0000248,205,0,0.975765,True
tr_0000249,206,1,0.9892172,True
tr_0000250,207,0,0.9961479,True
tr_0000251,208,0,0.92053515,True
tr_0000252,209,0,0.9820023,True
tr_0000253,210,1,0.9897913,True
tr_0000254,211,0,0.9629716,True
tr_0000255,212,2,0.97826546,True
tr_0000256,213,0,0.9953892,True
tr_0000257,214,0,0.9975538,True
tr_0000258,215,0,0.99645287,True
tr_0000259,216,0,0.8850612,True
tr_0000260,217,0,0.9943292,True
tr_0000261,218,2,0.9963152,True
tr_0000262,219,2,0.99386257,True
tr_0000263,9062,0,0.9966274,True
tr_0000264,220,2,0.9906021,True
tr_0000265,221,2,0.9973832,True
tr_0000266,32081,0,0.9989349,True
tr_0000267,222,2,0.99940443,True
tr_0000268,223,0,0.9836082,True
tr_0000269,224,0,0.9920807,True
tr_0000270,225,1,0.9929666,True
tr_0000271,22838,0,0.9936678,True
tr_0000272,226,0,0.9762334,True
tr_0000273,227,0,0.99610025,True
tr_0000274,8028,1,0.9897997,True
tr_0000275,228,0,0.9772406,True
tr_0000276,21312,0,0.9927058,True
tr_0000277,229,0,0.99965,True
tr_0000278,230,0,0.99742407,True
tr_0000279,25296,0,0.9937936,True
tr_0000280,231,0,0.99659544,True
tr_0000281,232,2,0.9963402,True
tr_0000282,8403,2,0.99826944,True
tr_0000283,233,2,0.99713486,True
tr_0000284,234,0,0.8855015,True
tr_0000285,235,0,0.96134037,True
tr_0000286,236,0,0.9933534,True
tr_0000287,237,2,0.9988382,True
tr_0000288,238,0,0.97872734,True
tr_0000289,239,0,0.9958841,True
tr_0000290,240,0,0.99253917,True
tr_0000291,241,2,0.9767102,True
tr_0000292,242,1,0.9795075,True
tr_0000293,243,3,0.99556553,False
tr_0000294,22254,2,0.98844206,True
tr_0000295,244,2,0.9462524,True
tr_0000296,245,0,0.9178102,True
tr_0000297,246,0,0.9868605,True
tr_0000298,247,2,0.9967623,True
tr_0000299,248,2,0.9956737,True
tr_0000300,249,0,0.99903095,True
tr_0000301,250,2,0.90838516,True
tr_0000302,251,0,0.9525863,True
tr_0000303,252,2,0.9950421,True
tr_0000304,12335,0,0.9929664,True
tr_0000305,253,1,0.988165,True
tr_0000306,254,0,0.97838223,True
tr_0000307,255,2,0.9975448,True
tr_0000308,256,0,0.98831964,True
tr_0000309,257,2,0.9606612,True
tr_0000310,258,2,0.95295674,True
tr_0000311,259,0,0.99144727,True
tr_0000312,260,0,0.99678886,True
tr_0000313,261,0,0.9883144,True
tr_0000314,8826,3,0.9942521,True
tr_0000315,262,0,0.9552597,True
tr_0000316,263,0,0.99249905,True
tr_0000317,264,2,0.9995045,True
tr_0000318,265,0,0.9626321,True
tr_0000319,266,0,0.9782986,True
tr_0000320,267,0,0.9932018,True
tr_0000321,268,0,0.98499113,True
tr_0000322,269,0,0.9972104,True
tr_0000323,23429,0,0.99372554,True
tr_0000324,270,0,0.9389909,True
tr_0000325,271,0,0.9793809,True
tr_0000326,272,0,0.99383116,True
tr_0000327,31857,0,0.9826641,True
tr_0000328,273,0,0.9969118,True
tr_0000329,12173,0,0.9971291,True
tr_0000330,274,2,0.99921036,True
tr_0000331,275,0,0.9269278,True
tr_0000332,276,0,0.95562,True
tr_0000333,277,2,0.94572234,True
tr_0000334,278,0,0.9951788,True
tr_0000335,279,2,0.9287786,True
tr_0000336,280,2,0.97544736,True
tr_0000337,281,2,0.9629493,False
tr_0000338,282,0,0.93864506,True
tr_0000339,283,0,0.93101305,True
tr_0000340,24240,1,0.99691963,True
tr_0000341,284,2,0.9990576,True
tr_0000342,19984,0,0.99917316,True
tr_0000343,10494,0,0.9982668,True
tr_0000344,285,0,0.96514684,True
tr_0000345,286,2,0.997966,True
tr_0000346,287,0,0.9539625,True
tr_0000347,288,0,0.9927737,True
tr_0000348,289,0,0.99786735,True
tr_0000349,290,0,0.9965167,True
tr_0000350,291,2,0.99441415,True
tr_0000351,292,0,0.9885759,True
tr_0000352,293,0,0.9833661,True
tr_0000353,294,2,0.9992542,True
tr_0000354,295,0,0.98865753,False
tr_0000355,296,0,0.992838,True
tr_0000356,297,0,0.99690336,True
tr_0000357,298,0,0.9534463,True
tr_0000358,299,0,0.9269125,True
tr_0000359,300,2,0.99012953,True
tr_0000360,25201,1,0.98752236,True
tr_0000361,301,0,0.9614007,True
tr_0000362,6500,0,0.9801287,True
tr_0000363,302,0,0.99918854,True
tr_0000364,303,0,0.9650354,True
tr_0000365,304,1,0.98913854,True
tr_0000366,11077,2,0.99714607,True
tr_0000367,305,2,0.99892604,True
tr_0000368,306,0,0.98967767,True
tr_0000369,307,0,0.9949563,True
tr_0000370,308,0,0.99199396,True
tr_0000371,309,2,0.9989151,True
tr_0000372,310,2,0.9902784,True
tr_0000373,311,2,0.9893878,True
tr_0000374,312,0,0.99753034,True
tr_0000375,231,0,0.99659544,True
tr_0000376,313,2,0.96892977,True
tr_0000377,314,0,0.99738735,True
tr_0000378,315,0,0.9530428,True
tr_0000379,316,0,0.99804896,True
tr_0000380,317,2,0.99923056,True
tr_0000381,2769,0,0.9942593,True
tr_0000382,10926,0,0.9985924,True
tr_0000383,318,0,0.99222916,True
tr_0000384,319,0,0.93437606,True
tr_0000385,320,0,0.996916,True
tr_0000386,321,0,0.9117338,True
tr_0000387,322,0,0.9575606,True
tr_0000388,323,0,0.9543217,True
tr_0000389,324,0,0.9519767,True
tr_0000390,325,2,0.99626327,True
tr_0000391,6601,2,0.9957731,True
tr_0000392,1873,1,0.99759245,True
tr_0000393,326,0,0.9724096,True
tr_0000394,327,0,0.9770193,True
tr_0000395,328,0,0.9730213,True
tr_0000396,329,0,0.7749762,True
tr_0000397,10606,0,0.990249,True
tr_0000398,330,2,0.77190214,True
tr_0000399,331,2,0.9941623,True
tr_0000400,332,0,0.96761966,True
tr_0000401,333,0,0.7929655,True
tr_0000402,334,0,0.9993552,True
tr_0000403,335,0,0.999749,True
tr_0000404,336,2,0.996601,True
tr_0000405,337,0,0.9631159,True
tr_0000406,338,2,0.99280006,True
tr_0000407,339,1,0.9869863,True
tr_0000408,340,0,0.98501134,True
tr_0000409,341,0,0.9215316,True
tr_0000410,342,0,0.99647623,True
tr_0000411,343,0,0.9763647,True
tr_0000412,64,0,0.9821931,True
tr_0000413,344,0,0.97860664,True
tr_0000414,345,2,0.99896085,True
tr_0000415,346,0,0.93241805,True
tr_0000416,347,2,0.9355744,True
tr_0000417,348,2,0.9979562,True
tr_0000418,349,2,0.9984138,True
tr_0000419,350,0,0.9971086,True
tr_0000420,351,0,0.8717709,True
tr_0000421,352,2,0.99838656,True
tr_0000422,10390,0,0.9930561,True
tr_0000423,353,0,0.98817164,True
tr_0000424,14594,2,0.9934807,True
tr_0000425,354,0,0.9350212,True
tr_0000426,355,0,0.9712001,True
tr_0000427,356,2,0.9874317,True
tr_0000428,357,2,0.99955,True
tr_0000429,358,0,0.9972459,True
tr_0000430,359,0,0.96316624,True
tr_0000431,360,2,0.99763876,True
tr_0000432,361,0,0.9954865,True
tr_0000433,362,2,0.99925876,True
tr_0000434,10750,0,0.99746776,True
tr_0000435,363,0,0.9942111,True
tr_0000436,364,1,0.966087,True
tr_0000437,365,0,0.95319045,True
tr_0000438,366,2,0.966421,True
tr_0000439,367,0,0.97433877,True
tr_0000440,368,1,0.9969099,True
tr_0000441,369,2,0.98134863,True
tr_0000442,370,0,0.99053514,True
tr_0000443,371,2,0.94444394,True
tr_0000444,372,0,0.82686436,True
tr_0000445,373,0,0.9858864,True
tr_0000446,4847,0,0.9926058,True
tr_0000447,374,2,0.95216703,True
tr_0000448,375,0,0.96448386,True
tr_0000449,376,2,0.98492277,True
tr_0000450,377,0,0.9967218,True
tr_0000451,378,0,0.99009717,True
tr_0000452,379,2,0.958753,True
tr_0000453,6836,0,0.9963557,True
tr_0000454,380,1,0.9824113,True
tr_0000455,381,2,0.8159568,True
tr_0000456,382,2,0.9809841,True
tr_0000457,383,0,0.9487918,True
tr_0000458,384,2,0.99490774,True
tr_0000459,385,0,0.94669163,True
tr_0000460,386,2,0.99693865,True
tr_0000461,387,2,0.87160033,True
tr_0000462,388,0,0.9002368,True
tr_0000463,389,0,0.84266955,True
tr_0000464,3081,2,0.9995367,True
tr_0000465,390,0,0.963243,True
tr_0000466,391,0,0.98253673,True
tr_0000467,392,0,0.9345856,True
tr_0000468,393,2,0.9988298,True
tr_0000469,394,0,0.98667854,True
tr_0000470,395,0,0.9628793,True
tr_0000471,396,2,0.97812486,True
tr_0000472,397,0,0.9968757,True
tr_0000473,398,0,0.95949626,True
tr_0000474,399,2,0.9981055,True
tr_0000475,400,2,0.9322104,True
tr_0000476,401,1,0.9861394,True
tr_0000477,402,0,0.9891262,True
tr_0000478,5068,0,0.99519694,True
tr_0000479,403,0,0.96577775,True
tr_0000480,404,0,0.9947743,True
tr_0000481,405,1,0.98097074,True
tr_0000482,406,2,0.9875094,True
tr_0000483,407,0,0.9845061,True
tr_0000484,408,2,0.9805631,True
tr_0000485,409,0,0.99581224,True
tr_0000486,410,2,0.95629275,True
tr_0000487,9840,0,0.99772936,True
tr_0000488,411,2,0.98483187,True
tr_0000489,412,0,0.9105735,True
tr_0000490,413,2,0.9682604,True
tr_0000491,414,0,0.96388257,True
tr_0000492,415,0,0.9985177,True
tr_0000493,416,2,0.999178,True
tr_0000494,417,0,0.9526241,True
tr_0000495,418,0,0.99606925,True
tr_0000496,419,0,0.92771816,True
tr_0000497,420,0,0.9023594,True
tr_0000498,421,2,0.9767695,True
tr_0000499,422,0,0.9917749,True
tr_0000500,423,2,0.9929925,True
tr_0000501,424,0,0.9803939,True
tr_0000502,425,2,0.8806389,True
tr_0000503,15225,0,0.9854646,True
tr_0000504,426,2,0.9989282,True
tr_0000505,427,0,0.98407215,True
tr_0000506,428,0,0.9992642,True
tr_0000507,429,0,0.98015827,True
tr_0000508,430,2,0.9824095,True
tr_0000509,431,2,0.9994976,True
tr_0000510,432,0,0.99697167,True
tr_0000511,433,0,0.9466281,True
tr_0000512,434,0,0.97748834,True
tr_0000513,435,0,0.8163437,True
tr_0000514,436,0,0.9737509,True
tr_0000515,437,2,0.9984358,True
tr_0000516,7996,2,0.9989899,True
tr_0000517,438,0,0.9982002,True
tr_0000518,439,0,0.95137143,True
tr_0000519,440,0,0.9904978,True
tr_0000520,441,1,0.9608578,True
tr_0000521,442,0,0.9941002,True
tr_0000522,443,0,0.94381523,True
tr_0000523,444,0,0.9980308,True
tr_0000524,445,0,0.9800685,True
tr_0000525,446,2,0.9321166,True
tr_0000526,447,2,0.99770415,True
tr_0000527,448,0,0.9940419,True
tr_0000528,247,2,0.998188,True
tr_0000529,449,0,0.99035096,True
tr_0000530,450,2,0.9960999,True
tr_0000531,16681,0,0.99914086,True
tr_0000532,10163,0,0.99725413,True
tr_0000533,451,0,0.993558,True
tr_0000534,23180,0,0.99564433,True
tr_0000535,452,2,0.8615734,True
tr_0000536,453,3,0.89194816,False
tr_0000537,454,0,0.674887,True
tr_0000538,455,0,0.9969716,True
tr_0000539,456,2,0.987644,True
tr_0000540,457,0,0.980831,True
tr_0000541,458,0,0.9564571,True
tr_0000542,39254,0,0.99561924,True
tr_0000543,12707,0,0.99150085,True
tr_0000544,459,0,0.98557764,True
tr_0000545,460,2,0.9914592,True
tr_0000546,461,2,0.9648435,True
tr_0000547,462,2,0.95606065,True
tr_0000548,463,0,0.9937745,True
tr_0000549,464,0,0.9876131,True
tr_0000550,465,0,0.83267456,False
tr_0000551,466,0,0.84799445,True
tr_0000552,467,0,0.99581033,True
tr_0000553,468,2,0.98083043,True
tr_0000554,469,2,0.9989554,True
tr_0000555,470,2,0.928417,True
tr_0000556,471,0,0.99947983,True
tr_0000557,472,0,0.9951722,True
tr_0000558,473,0,0.98937494,True
tr_0000559,7829,2,0.99866503,True
tr_0000560,45,2,0.99592716,True
tr_0000561,474,2,0.9837312,True
tr_0000562,475,0,0.9994693,True
tr_0000563,476,0,0.98052895,True
tr_0000564,477,0,0.97664225,True
tr_0000565,34371,2,0.999664,True
tr_0000566,478,2,0.9935605,True
tr_0000567,479,0,0.9893455,True
tr_0000568,480,2,0.87959486,True
tr_0000569,7827,0,0.99669987,True
tr_0000570,481,0,0.9720852,True
tr_0000571,482,0,0.99181193,True
tr_0000572,483,0,0.9300916,True
tr_0000573,484,0,0.97664,True
tr_0000574,485,0,0.8589129,True
tr_0000575,42907,0,0.99377656,True
tr_0000576,486,0,0.99946374,True
tr_0000577,1866,0,0.9980034,True
tr_0000578,487,1,0.9968388,True
tr_0000579,488,0,0.9962281,True
tr_0000580,489,0,0.9896592,True
tr_0000581,490,0,0.99545324,True
tr_0000582,491,3,0.9551672,False
tr_0000583,492,2,0.9811308,True
tr_0000584,493,0,0.97847855,True
tr_0000585,494,2,0.96669257,True
tr_0000586,495,2,0.98051095,True
tr_0000587,14096,2,0.9923958,True
tr_0000588,496,0,0.99454087,True
tr_0000589,497,0,0.99854845,True
tr_0000590,498,0,0.99524933,True
tr_0000591,499,0,0.99338657,True
tr_0000592,500,0,0.9965975,True
tr_0000593,501,2,0.9960783,True
tr_0000594,502,0,0.9983692,True
tr_0000595,15287,2,0.99474764,True
tr_0000596,503,0,0.99781126,True
tr_0000597,874,0,0.99399537,True
tr_0000598,504,2,0.99863636,True
tr_0000599,505,0,0.99091846,True
tr_0000600,506,0,0.9870799,True
tr_0000601,507,0,0.9440415,True
tr_0000602,508,1,0.9867431,True
tr_0000603,509,0,0.9989053,True
tr_0000604,510,0,0.99939257,True
tr_0000605,511,0,0.98691183,True
tr_0000606,512,0,0.9994492,True
tr_0000607,513,0,0.9964051,True
tr_0000608,514,0,0.89488065,True
tr_0000609,515,0,0.97779834,True
tr_0000610,1822,0,0.99766046,True
tr_0000611,516,1,0.99420613,True
tr_0000612,6854,2,0.99784523,True
tr_0000613,517,2,0.9897368,True
tr_0000614,518,2,0.96783876,True
tr_0000615,519,2,0.96643054,True
tr_0000616,520,0,0.9641648,True
tr_0000617,521,2,0.96181434,True
tr_0000618,522,0,0.9967752,True
tr_0000619,523,0,0.96397686,True
tr_0000620,524,0,0.99374264,True
tr_0000621,525,0,0.99839467,True
tr_0000622,526,0,0.9736119,True
tr_0000623,527,0,0.9983863,True
tr_0000624,528,0,0.9951983,True
tr_0000625,529,0,0.9987499,True
tr_0000626,530,3,0.9860192,True
tr_0000627,25654,2,0.9930281,True
tr_0000628,531,2,0.99803627,True
tr_0000629,532,0,0.7723226,True
tr_0000630,533,3,0.98945874,True
tr_0000631,33182,1,0.9905317,True
tr_0000632,534,2,0.98121786,True
tr_0000633,6741,0,0.9935443,True
tr_0000634,535,2,0.99939346,True
tr_0000635,536,0,0.99675375,True
tr_0000636,537,0,0.98535645,True
tr_0000637,5453,0,0.994485,True
tr_0000638,538,0,0.9945106,True
tr_0000639,539,0,0.9731459,True
tr_0000640,540,0,0.9757116,True
tr_0000641,541,0,0.9342403,True
tr_0000642,3940,0,0.9947065,True
tr_0000643,542,2,0.9966364,True
tr_0000644,543,2,0.79083717,False
tr_0000645,544,0,0.975242,True
tr_0000646,545,0,0.9839174,True
tr_0000647,546,2,0.98674005,True
tr_0000648,547,0,0.99907786,True
tr_0000649,548,2,0.9456641,True
tr_0000650,549,0,0.95851564,True
tr_0000651,550,2,0.9391253,True
tr_0000652,551,0,0.9824363,True
tr_0000653,552,0,0.9614481,True
tr_0000654,553,0,0.94256204,True
tr_0000655,554,0,0.9976543,True
tr_0000656,555,2,0.9506129,True
tr_0000657,556,0,0.9922762,True
tr_0000658,557,0,0.99900776,True
tr_0000659,15991,0,0.99612415,True
tr_0000660,558,2,0.9708448,True
tr_0000661,559,1,0.99390125,True
tr_0000662,560,2,0.9972292,True
tr_0000663,561,0,0.9543217,True
tr_0000664,562,0,0.99986833,True
tr_0000665,563,2,0.9683374,True
tr_0000666,564,0,0.92246354,True
tr_0000667,565,1,0.97106224,True
tr_0000668,566,0,0.99779487,True
tr_0000669,567,2,0.96676904,True
tr_0000670,568,0,0.9442916,True
tr_0000671,569,0,0.89475775,True
tr_0000672,570,0,0.9323484,False
tr_0000673,571,2,0.91376275,True
tr_0000674,572,2,0.9982346,True
tr_0000675,573,0,0.96531594,True
tr_0000676,11101,2,0.9916857,True
tr_0000677,574,2,0.99256337,True
tr_0000678,575,0,0.8699219,True
tr_0000679,11991,2,0.9988262,True
tr_0000680,576,2,0.998607,True
tr_0000681,577,1,0.96505386,True
tr_0000682,578,0,0.9606793,True
tr_0000683,9032,2,0.99123406,True
tr_0000684,579,0,0.99582404,True
tr_0000685,580,0,0.9953678,True
tr_0000686,581,2,0.98925114,True
tr_0000687,582,0,0.9945685,True
tr_0000688,583,2,0.8862897,True
tr_0000689,584,0,0.9952308,True
tr_0000690,585,0,0.9994755,True
tr_0000691,586,0,0.9921571,True
tr_0000692,587,2,0.9516049,True
tr_0000693,588,0,0.8341827,True
tr_0000694,589,0,0.9754548,True
tr_0000695,590,0,0.9681111,True
tr_0000696,591,0,0.9669324,True
tr_0000697,592,0,0.9961596,True
tr_0000698,593,0,0.97320247,True
tr_0000699,594,2,0.99903494,True
tr_0000700,595,0,0.99606735,True
tr_0000701,596,0,0.80506563,True
tr_0000702,597,2,0.97714144,True
tr_0000703,8707,0,0.99757403,True
tr_0000704,12383,0,0.99849355,True
tr_0000705,598,2,0.97780615,True
tr_0000706,599,2,0.9954004,True
tr_0000707,600,0,0.95064294,True
tr_0000708,601,2,0.93112606,True
tr_0000709,602,0,0.8515458,True
tr_0000710,603,0,0.9804765,True
tr_0000711,8009,2,0.99145305,True
tr_0000712,604,0,0.9965649,True
tr_0000713,605,0,0.99515134,True
tr_0000714,606,0,0.98884153,True
tr_0000715,607,2,0.8907101,True
tr_0000716,608,2,0.9943711,True
tr_0000717,12339,0,0.9961631,True
tr_0000718,609,0,0.99571997,True
tr_0000719,6122,0,0.98795617,True
tr_0000720,610,2,0.99238425,True
tr_0000721,4848,2,0.997311,True
tr_0000722,10650,2,0.99880815,True
tr_0000723,7533,2,0.9993489,True
tr_0000724,611,2,0.9368634,True
tr_0000725,612,0,0.96116686,True
tr_0000726,613,0,0.9871314,True
tr_0000727,5314,2,0.9976454,True
tr_0000728,614,0,0.98684734,True
tr_0000729,615,0,0.8259014,True
